company,domain,breach_date,records_affected,data_classes,industry,risk_score
000webhost,000webhost.com,2015-03-01,14936670,"['Email addresses', 'IP addresses', 'Names', 'Passwords']",Technology,5
123RF,123rf.com,2020-03-22,8661578,"['Email addresses', 'IP addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Usernames']",Technology,5
126,126.com,2012-01-01,6414191,"['Email addresses', 'Passwords']",Technology,5
17Media,17app.co,2016-04-19,4009640,"['Device information', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
17173,17173.com,2011-12-28,7485802,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
1win,1win.com,2024-11-02,96166543,"['Dates of birth', 'Email addresses', 'Geographic locations', 'IP addresses', 'Passwords', 'Phone numbers']",Technology,5
2844Breaches,,2018-02-19,80115532,"['Email addresses', 'Passwords']",Technology,5
2fast4u,2fast4u.be,2017-12-20,17706,"['Email addresses', 'Passwords', 'Usernames']",Technology,4
500px,500px.com,2018-07-05,14867999,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'Names', 'Passwords', 'Usernames']",Technology,5
7k7k,7k7k.com,2011-01-01,9121434,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
8fit,8fit.com,2018-07-01,15025407,"['Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Names', 'Passwords']",Technology,5
8tracks,8tracks.com,2017-06-27,17979961,"['Email addresses', 'Passwords']",Technology,5
9Lives,9lives.be,2014-10-01,109515,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
Abandonia,abandonia.com,2015-11-01,776125,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Abandonia2022,abandonia.com,2022-11-15,919790,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
AbuseWithUs,abusewith.us,2016-07-01,1372550,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
AcneOrg,acne.org,2014-11-25,432943,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Activision,activision.com,2022-12-04,16006,"['Email addresses', 'Geographic locations', 'Job titles', 'Names', 'Phone numbers']",Technology,2
ActMobile,actmobile.com,2021-10-08,1583193,"['Email addresses', 'IP addresses']",Technology,4
Acuity,,2020-06-18,14055729,"['Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Salutations']",Technology,5
Adapt,adapt.io,2018-11-05,9363740,"['Email addresses', 'Employers', 'Job titles', 'Names', 'Phone numbers', 'Physical addresses', 'Social media profiles']",Technology,4
Adecco,adecco.com,2021-01-03,4284538,"['Email addresses', 'Genders', 'Geographic locations', 'Marital statuses', 'Names', 'Passwords', 'Phone numbers']",Technology,5
